Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,E[M],sigmaM,DN,Source
1929,8,12,0,0,0.0,42.91,-78.402,4.72,0.2,226,EPRI
1929,8,16,0,0,0.0,-16.99,120.66,6.26,0.25,1,EPRI
1929,10,24,0,0,0.0,22.0,118.0,6.57,0.25,127,EPRI
1929,11,18,0,0,0.0,44.691,-56.006,6.97,0.31,218,EPRI
1929,12,28,0,0,0.0,-39.69,149.45,5.42,0.37,26,EPRI
1930,1,3,0,0,0.0,32.2,119.4,5.04,0.44,132,EPRI
1930,1,9,0,0,0.0,47.62,-2.88,5.1,0.37,196,EPRI
1930,4,3,0,0,0.0,32.5,43.7,5.2,0.37,81,EPRI
1930,6,25,0,0,0.0,25.0,77.5,4.45,0.45,112,EPRI
1930,7,5,0,0,0.0,37.6,-4.6,5.21,0.37,200,EPRI
1930,8,4,5,4,31.0,-9.5,-70.5,6.5,0.19,51,ISC
1930,9,23,0,0,0.0,27.5,106.0,5.15,0.37,130,EPRI
1930,11,24,6,6,48.0,-2.0,-77.0,6.26,0.18,51,ISC
1931,1,8,0,0,0.0,47.63,-70.17,4.89,0.37,226,EPRI
1931,1,8,0,13,41.0,50.0,-74.0,5.82,0.15,236,ISC
1931,4,20,0,0,0.0,43.4,-73.7,4.58,0.32,224,EPRI
1931,5,1,22,36,52.0,8.25,-69.75,6.26,0.18,52,ISC
1931,5,1,0,0,0.0,3.0,27.0,5.21,0.37,73,EPRI
1931,6,7,0,0,0.0,54.1,1.5,5.7,0.32,194,EPRI
1931,6,29,0,0,0.0,48.5,123.5,4.98,0.37,135,EPRI
1931,7,1,0,0,0.0,30.0,109.0,4.44,0.45,130,EPRI
1931,9,17,0,0,0.0,50.1,127.0,5.0,0.44,138,EPRI
1931,9,20,0,0,0.0,40.4,-84.21,4.58,0.48,235,EPRI
1931,9,21,0,0,0.0,19.421,113.158,6.73,0.25,127,EPRI
1931,12,17,0,0,0.0,34.1,-89.9,4.71,0.32,225,EPRI
1932,6,21,0,0,0.0,16.7,111.8,5.31,0.37,127,EPRI
1932,8,14,0,0,0.0,62.8,154.6,4.97,0.37,140,EPRI
1932,8,22,0,0,0.0,36.1,121.6,6.26,0.25,132,EPRI
1932,11,20,0,0,0.0,51.71,5.61,4.97,0.37,195,EPRI
1932,12,31,0,0,0.0,-28.5,32.75,6.61,0.25,63,EPRI
1933,2,8,0,0,0.0,48.8,8.2,4.71,0.37,195,EPRI
1933,7,14,0,0,0.0,42.9,56.5,5.33,0.37,160,EPRI
1933,8,29,14,52,36.0,-10.9,-69.5,6.5,0.19,51,ISC
1933,12,2,0,0,0.0,-51.5,-44.0,6.49,0.25,35,EPRI
1934,5,1,3,40,40.0,27.0,69.0,5.82,0.15,113,ISC
1934,5,12,0,0,0.0,44.43,4.82,4.75,0.32,195,EPRI
1934,5,21,0,0,0.0,25.0,118.2,5.47,0.37,125,EPRI
1934,11,12,0,0,0.0,38.0,-8.5,5.15,0.37,199,EPRI
1934,11,18,0,0,0.0,-34.8,149.2,4.99,0.32,27,EPRI
1935,3,1,0,0,0.0,40.35,-96.15,4.5,0.32,235,EPRI
1935,3,21,0,0,0.0,24.2,89.5,6.08,0.25,118,EPRI
1935,4,12,0,0,0.0,-25.5,151.67,5.14,0.37,28,EPRI
1935,4,18,0,0,0.0,70.5,-73.0,5.38,0.37,248,EPRI
1935,4,19,0,0,0.0,31.243,15.3,6.62,0.31,90,EPRI
1935,6,27,0,0,0.0,48.1,9.5,5.44,0.32,192,EPRI
1935,7,17,0,0,0.0,66.05,8.1,5.26,0.37,183,EPRI
1935,7,20,0,0,0.0,21.0,72.4,4.98,0.5,115,EPRI
1935,11,1,6,3,40.0,46.842,-79.052,6.16,0.135,226,Merged
1935,12,16,16,57,24.0,-9.5,-70.5,6.26,0.18,51,ISC
1935,12,28,4,50,49.0,-9.5,-70.5,5.96,0.16,51,ISC
1935,12,30,0,0,0.0,48.6,8.2,4.91,0.37,195,EPRI
1936,1,12,0,0,0.0,-27.0,31.0,4.82,0.32,64,EPRI
1936,1,16,0,0,0.0,-29.8,25.3,5.3,0.32,63,EPRI
1936,4,1,0,0,0.0,22.5,109.4,6.24,0.32,129,EPRI
1936,4,26,0,0,0.0,28.733,103.497,6.72,0.52,131,EPRI
1936,6,13,0,0,0.0,32.75,22.5,5.79,0.37,90,EPRI
1936,6,20,0,0,0.0,42.4,-9.8,5.56,0.37,199,EPRI
1937,1,24,0,0,0.0,56.0,130.0,4.76,0.58,147,EPRI
1937,3,9,0,0,0.0,40.47,-84.28,5.11,0.32,235,EPRI
1937,10,28,0,0,0.0,-26.1,136.5,5.35,0.37,12,EPRI
1937,12,20,0,0,0.0,-25.4,136.5,5.55,0.37,12,EPRI
1938,1,16,21,41,47.0,-6.0,-75.0,6.1,0.17,51,ISC
1938,1,26,0,0,0.0,33.12,45.87,5.63,0.37,81,EPRI
1938,3,11,0,0,0.0,61.7,4.2,4.75,0.37,183,EPRI
1938,3,14,0,48,38.0,21.59,75.475,6.26,0.154,106,Merged
1938,3,24,0,0,0.0,-35.5,146.0,4.97,0.37,27,EPRI
1938,4,17,0,0,0.0,-25.5,137.2,5.84,0.25,5,EPRI
1938,4,17,8,56,8.0,-28.0,134.0,6.1,0.17,19,ISC
1938,6,11,0,0,0.0,50.78,3.58,5.28,0.37,187,EPRI
1938,7,23,0,0,0.0,22.4,71.8,4.93,0.37,113,EPRI
1938,9,10,0,0,0.0,7.7,79.2,5.56,0.37,117,EPRI
1938,10,16,0,0,0.0,43.25,-3.62,5.3,0.25,198,EPRI
1939,1,20,0,0,0.0,31.03,15.84,5.7,0.37,90,EPRI
1939,1,23,0,0,0.0,31.69,16.06,5.95,0.37,90,EPRI
1939,2,2,0,0,0.0,31.8,16.8,5.21,0.37,90,EPRI
1939,3,26,0,0,0.0,-32.0,138.0,5.79,0.37,21,EPRI
1939,6,22,0,0,0.0,5.18,-0.13,6.35,0.24,91,EPRI
1939,6,22,19,19,33.0,5.552,-0.628,6.26,0.18,100,ISC
1939,6,28,0,0,0.0,-29.0,-49.0,6.08,0.32,46,EPRI
1939,8,18,0,0,0.0,6.2,-0.3,5.25,0.37,100,EPRI
1939,10,19,11,53,58.0,47.75,-70.0,5.82,0.15,226,ISC
1939,10,19,0,0,0.0,48.016,-69.734,5.02,0.36,227,EPRI
1939,12,24,22,27,40.0,-6.5,-71.0,5.75,0.15,51,ISC
1940,1,19,0,0,0.0,42.7,121.3,5.89,0.37,137,EPRI
1940,2,27,12,12,47.0,8.4,-61.4,5.94,0.151,52,Merged
1940,5,24,0,0,0.0,51.467,11.792,4.85,0.37,192,EPRI
1940,5,29,1,57,52.0,67.0,-135.0,6.235,0.154,241,Merged
1940,6,23,0,0,0.0,74.7,-14.0,5.7,0.37,254,EPRI
1940,9,24,9,55,44.0,-9.5,-70.5,6.1,0.17,51,ISC
1940,10,23,2,23,15.0,-2.0,-76.0,6.1,0.17,51,ISC
1940,10,31,10,43,56.0,23.5,70.325,5.765,0.2,113,Merged
1940,11,10,0,0,0.0,-24.0,30.2,5.16,0.32,65,EPRI
1940,12,24,0,0,0.0,43.908,-71.283,5.13,0.47,222,EPRI
1941,1,24,5,44,3.0,-3.25,-76.75,6.5,0.19,51,ISC
1941,3,4,0,0,0.0,30.75,15.75,5.17,0.37,90,EPRI
1941,4,29,1,35,38.0,-26.852,116.224,6.56,0.154,7,Merged
1941,5,4,0,0,0.0,-26.3,136.9,5.9,0.37,12,EPRI
1941,5,5,0,0,0.0,46.5,126.9,6.22,0.25,137,EPRI
1941,6,27,0,0,0.0,-25.95,137.34,6.49,0.25,12,EPRI
1941,9,21,0,0,0.0,25.1,115.6,5.02,0.32,125,EPRI
1942,2,14,0,0,0.0,-29.5,136.0,4.97,0.37,19,EPRI
1942,7,8,0,0,0.0,43.5,121.9,5.71,0.37,137,EPRI
1943,5,28,0,0,0.0,48.2,9.0,5.2,0.37,192,EPRI
1943,7,16,0,0,0.0,33.0,21.5,5.28,0.37,90,EPRI
1943,11,7,0,0,0.0,21.6,119.3,4.72,0.45,127,EPRI
1943,12,22,7,1,50.0,-2.5,-77.0,6.26,0.18,51,ISC
1944,4,9,0,0,0.0,49.92,-67.43,4.44,0.13,226,EPRI
1944,6,8,2,38,4.0,-10.0,-71.0,6.26,0.18,51,ISC
1944,6,23,0,0,0.0,49.42,-67.75,4.79,0.37,226,EPRI
1944,7,17,0,0,0.0,35.91,42.55,6.21,0.58,81,EPRI
1944,9,5,4,38,45.0,44.854,-74.736,5.765,0.121,226,Merged
1944,12,19,14,9,3.0,39.794,124.224,6.66,0.16,133,Merged
1945,9,12,0,0,0.0,2.5,15.6,5.92,0.27,84,EPRI
1945,11,8,0,0,0.0,83.0,-15.0,6.16,0.25,251,EPRI
1946,4,19,0,0,0.0,-33.5,114.5,4.5,0.7,6,EPRI
1946,9,14,0,0,0.0,-40.2,149.0,5.56,0.37,26,EPRI
1948,1,21,0,0,0.0,-31.11,-57.27,4.87,0.32,42,EPRI
1948,5,23,0,0,0.0,37.2,121.8,5.71,0.37,133,EPRI
1948,8,6,0,0,0.0,-37.36,139.68,5.24,0.37,23,EPRI
1948,9,26,0,0,0.0,80.7,99.6,4.97,0.37,170,EPRI
1949,1,14,0,0,0.0,33.2,121.0,5.39,0.37,132,EPRI
1949,3,10,0,0,0.0,-34.74,149.2,5.04,0.37,27,EPRI
1949,5,2,0,0,0.0,-30.9,116.4,4.6,0.37,7,EPRI
1949,9,17,0,0,0.0,3.83,-51.84,5.11,0.32,52,EPRI
1950,4,14,0,0,0.0,48.0,-75.7,4.59,0.37,226,EPRI
1950,9,30,0,0,0.0,-30.5,18.0,4.36,0.45,60,EPRI
1950,10,28,0,0,0.0,52.3,79.3,4.56,0.37,157,EPRI
1951,1,1,0,0,0.0,47.7,109.9,5.69,0.37,136,EPRI
1951,3,10,0,0,0.0,38.18,-3.82,5.47,0.32,200,EPRI
1951,3,14,0,0,0.0,50.633,6.717,5.49,0.37,195,EPRI
1951,4,8,0,0,0.0,18.5,70.8,4.69,0.45,116,EPRI
1951,4,19,0,0,0.0,-19.2,28.8,4.41,0.45,67,EPRI
1951,4,22,0,0,0.0,76.0,-73.0,5.32,0.37,248,EPRI
1951,5,28,0,0,0.0,31.8,27.0,5.18,0.37,90,EPRI
1951,6,27,0,0,0.0,45.0,-57.0,4.59,0.37,218,EPRI
1951,9,17,0,0,0.0,-18.5,23.0,5.12,0.5,61,EPRI
1952,1,28,0,0,0.0,-32.9,20.5,4.98,0.5,58,EPRI
1952,3,19,9,4,18.0,38.936,125.667,6.27,0.206,133,Merged
1952,4,9,0,0,0.0,35.525,-97.85,5.29,0.12,231,EPRI
1952,4,20,0,0,0.0,-69.9,157.7,4.6,0.45,208,EPRI
1952,4,23,15,56,40.0,38.596,125.589,5.62,0.14,133,ISC
1952,5,10,0,0,0.0,-18.0,22.5,5.25,0.5,61,EPRI
1952,6,9,0,0,0.0,-27.5,18.6,5.25,0.5,60,EPRI
1952,6,24,0,0,0.0,-25.5,152.8,4.81,0.37,32,EPRI
1952,9,7,0,0,0.0,-34.8,149.3,4.66,0.37,27,EPRI
1952,10,11,0,0,0.0,-19.3,23.4,5.02,0.45,61,EPRI
1952,10,14,0,0,0.0,48.02,-69.78,4.54,0.32,227,EPRI
1953,2,22,0,0,0.0,50.917,10.0,5.09,0.37,192,EPRI
1953,4,2,0,0,0.0,-18.0,27.0,5.53,0.5,67,EPRI
1953,4,17,0,2,54.0,-5.008,-77.12,6.42,0.19,51,ISC
1953,5,1,0,0,0.0,-29.0,17.0,5.53,0.5,61,EPRI
1953,9,28,0,0,0.0,41.13,-1.58,5.09,0.37,201,EPRI
1954,2,28,0,0,0.0,-34.93,138.69,5.09,0.32,21,EPRI
1954,7,7,0,0,0.0,59.8,4.8,4.64,0.37,179,EPRI
1954,8,18,0,0,0.0,-19.5,23.5,5.25,0.5,61,EPRI
1954,8,28,0,0,0.0,45.17,-56.87,4.79,0.37,218,EPRI
1954,9,19,0,0,0.0,-28.5,148.6,4.74,0.37,27,EPRI
1954,10,16,0,0,0.0,44.83,-56.8,4.86,0.37,218,EPRI
1954,11,26,0,0,0.0,-18.0,13.0,4.98,0.5,61,EPRI
1955,1,31,0,0,0.0,-12.42,-57.3,6.12,0.37,52,EPRI
1955,3,30,0,0,0.0,22.4,118.7,4.78,0.37,127,EPRI
1955,5,26,0,0,0.0,25.5,105.0,4.56,0.37,130,EPRI
1955,6,3,0,0,0.0,61.9,4.15,5.12,0.37,183,EPRI
1955,8,23,14,9,20.0,31.073,71.196,5.525,0.198,113,Merged
1955,11,27,0,0,0.0,-18.0,25.0,5.25,0.5,61,EPRI
1956,1,29,0,0,0.0,61.5,131.4,4.72,0.37,147,EPRI
1956,4,9,0,0,0.0,49.0,130.5,4.88,0.37,139,EPRI
1956,6,3,0,0,0.0,79.5,-118.5,5.77,0.37,250,EPRI
1956,6,5,0,0,0.0,56.8,-58.9,4.67,0.37,247,EPRI
1956,6,29,0,0,0.0,-5.0,22.0,5.02,0.37,73,EPRI
1956,7,21,0,0,0.0,23.3,70.0,5.96,0.17,114,EPRI
1956,10,10,0,0,0.0,28.2,77.7,6.05,0.37,113,EPRI
1956,10,13,0,0,0.0,48.5,122.0,4.98,0.44,135,EPRI
1957,1,4,0,0,0.0,7.42,-12.52,5.2,0.44,105,EPRI
1957,2,11,0,0,0.0,52.86,-1.15,4.66,0.37,187,EPRI
1957,4,13,0,0,0.0,-30.18,26.91,5.56,0.37,60,EPRI
1957,4,16,0,0,0.0,-9.5,-67.0,4.92,0.44,51,EPRI
1957,8,9,0,0,0.0,62.3,132.0,4.59,0.37,147,EPRI
1957,8,25,0,0,0.0,22.0,80.0,4.9,0.37,111,EPRI
1958,1,1,0,0,0.0,-42.2,146.1,4.79,0.37,26,EPRI
1958,1,23,0,0,0.0,65.19,6.91,5.42,0.37,183,EPRI
1958,3,2,0,0,0.0,67.0,144.0,4.69,0.37,141,EPRI
1958,5,14,0,0,0.0,47.092,-76.818,4.17,0.16,226,EPRI
1958,5,17,0,0,0.0,31.81,11.28,5.25,0.37,89,EPRI
1958,7,8,0,0,0.0,50.833,10.117,5.15,0.37,192,EPRI
1958,8,6,0,0,0.0,59.61,5.94,4.78,0.37,179,EPRI
1958,9,25,0,0,0.0,22.5,109.5,4.7,0.32,129,EPRI
1959,1,2,0,0,0.0,47.99,-3.99,5.35,0.37,196,EPRI
1959,1,30,0,0,0.0,61.0,-78.5,4.46,0.25,237,EPRI
1959,3,10,0,0,0.0,-15.31,30.16,5.31,0.37,68,EPRI
1959,4,14,0,0,0.0,-14.55,22.11,5.16,0.37,61,EPRI
1959,5,18,0,0,0.0,-36.218,148.64,4.61,0.37,27,EPRI
1959,5,21,0,0,0.0,-31.4,139.0,4.64,0.37,21,EPRI
1959,8,12,0,0,0.0,-14.96,26.54,5.86,0.37,70,EPRI
1959,10,12,0,0,0.0,15.68,80.07,5.15,0.37,117,EPRI
1959,10,21,0,0,0.0,65.0,-87.0,4.84,0.37,239,EPRI
1959,11,2,0,0,0.0,-33.36,135.98,4.64,0.37,19,EPRI
1959,12,31,0,0,0.0,43.5,111.0,4.73,0.37,135,EPRI
1960,5,12,0,0,0.0,-9.0,-72.5,4.92,0.47,51,EPRI
1960,7,15,0,0,0.0,-14.15,21.85,4.91,0.37,72,EPRI
1960,8,26,0,0,0.0,-11.0,123.9,5.4,0.37,1,EPRI
1960,8,27,0,0,0.0,28.59,76.72,4.7,0.32,113,EPRI
1960,9,6,0,0,0.0,64.7,-86.4,4.98,0.37,239,EPRI
1960,10,19,0,0,0.0,-21.0,149.3,4.49,0.32,32,EPRI
1960,11,5,0,0,0.0,24.0,108.5,4.87,0.32,129,EPRI
1960,12,24,0,0,0.0,-38.88,143.59,4.79,0.37,23,EPRI
1961,3,7,0,0,0.0,30.28,111.2,4.75,0.32,130,EPRI
1961,5,16,0,0,0.0,-30.85,147.27,4.61,0.37,27,EPRI
1961,5,21,0,0,0.0,-34.547,150.503,5.08,0.37,27,EPRI
1961,6,12,0,0,0.0,21.6,106.02,5.53,0.32,130,EPRI
1961,6,18,0,0,0.0,-20.1,119.3,4.88,0.37,9,EPRI
1961,7,28,1,5,31.0,-2.287,-77.035,6.49,0.22,51,ISC
1961,8,23,0,0,0.0,-18.5,119.0,4.79,0.37,2,EPRI
1961,12,28,0,0,0.0,-28.12,141.57,4.5,0.37,27,EPRI
1962,3,8,0,0,0.0,3.73,28.99,5.67,0.37,83,EPRI
1962,3,18,0,0,0.0,23.72,114.67,6.0,0.14,125,EPRI
1962,4,20,0,0,0.0,24.3,106.0,4.65,0.32,130,EPRI
1962,12,15,0,0,0.0,67.36,13.9,4.73,0.37,179,EPRI
1962,12,26,0,0,0.0,39.3,-10.6,5.33,0.32,199,EPRI
1963,1,18,0,0,0.0,-32.25,117.17,4.64,0.32,7,EPRI
1963,2,21,0,0,0.0,32.6,21.0,5.71,0.37,90,EPRI
1963,3,3,0,0,0.0,36.7,-90.0,4.62,0.14,230,EPRI
1963,3,8,0,0,0.0,76.6,-94.33,5.18,0.37,248,EPRI
1963,3,14,0,0,0.0,-25.7,137.4,4.75,0.37,5,EPRI
1963,4,9,0,0,0.0,22.5,85.8,4.8,0.7,109,EPRI
1963,5,8,0,0,0.0,21.7,84.9,5.1,0.37,109,EPRI
1963,6,21,0,0,0.0,47.91,130.61,5.62,0.37,139,EPRI
1963,6,22,0,0,0.0,53.1,121.4,5.27,0.37,136,EPRI
1963,7,13,0,0,0.0,24.77,70.26,5.61,0.37,113,EPRI
1963,8,15,0,0,0.0,56.0,134.5,4.59,0.37,147,EPRI
1963,9,4,0,0,0.0,71.234,-72.998,6.14,0.05,248,EPRI
1963,9,6,0,0,0.0,36.47,130.76,5.8,0.05,127,EPRI
1963,9,23,0,0,0.0,-16.58,28.46,5.65,0.17,67,EPRI
1963,10,7,0,0,0.0,42.9,110.5,5.35,0.37,135,EPRI
1963,12,14,0,0,0.0,-2.3,-61.01,5.21,0.2,53,EPRI
1963,12,26,0,0,0.0,76.53,23.46,4.62,0.45,169,EPRI
1964,1,8,0,0,0.0,46.23,-77.53,3.74,0.12,226,EPRI
1964,2,13,0,0,0.0,-18.06,-56.69,5.3,0.25,49,EPRI
1964,3,23,0,0,0.0,-17.71,123.16,5.26,0.37,11,EPRI
1964,3,26,5,25,2.0,-5.017,-76.394,5.09,0.06,51,ISC
1964,3,28,0,0,0.0,42.997,-101.798,4.84,0.32,255,EPRI
1964,4,15,0,0,0.0,21.6,88.07,5.25,0.25,118,EPRI
1964,5,12,0,0,0.0,-11.0,126.0,4.83,0.25,1,EPRI
1964,5,14,13,52,14.0,65.094,-86.736,5.01,0.05,239,ISC
1964,5,23,11,25,34.0,36.5,-90.0,5.01,0.05,230,ISC
1964,6,19,0,0,0.0,2.55,-59.3,4.56,0.25,52,EPRI
1964,7,12,0,0,0.0,53.8,81.4,4.79,0.25,156,EPRI
1964,7,14,0,0,0.0,57.03,7.2,4.71,0.25,189,EPRI
1964,8,10,16,58,44.0,9.092,-61.966,5.44,0.137,52,Merged
1964,9,23,0,0,0.0,23.73,114.68,4.74,0.32,125,EPRI
1964,11,2,6,51,1.0,-4.087,-76.789,5.93,0.15,51,ISC
1964,11,28,16,41,34.0,-7.972,-71.292,5.45,0.1,51,ISC
1964,11,28,16,49,30.0,-7.869,-71.337,5.53,0.11,51,ISC
1964,12,22,0,24,49.0,-9.61,-71.232,5.31,0.08,51,ISC
1965,1,25,0,0,0.0,-31.93,138.49,4.73,0.25,21,EPRI
1965,2,15,0,0,0.0,53.65,81.53,5.2,0.25,156,EPRI
1965,2,16,20,17,53.0,39.9,-105.1,5.05,0.05,255,ISC
1965,2,16,22,21,43.0,39.9,-105.0,5.19,0.07,255,ISC
1965,2,18,22,32,19.0,-10.092,-71.176,5.38,0.09,51,ISC
1965,3,2,0,0,0.0,-30.52,138.22,5.2,0.25,21,EPRI
1965,3,14,0,0,0.0,-31.95,138.57,4.93,0.37,21,EPRI
1965,3,18,0,0,0.0,-40.29,149.59,4.5,0.37,26,EPRI
1965,3,26,0,0,0.0,24.18,69.56,4.75,0.25,114,EPRI
1965,3,29,9,30,43.0,56.316,126.65,5.01,0.05,147,ISC
1965,4,15,2,0,12.0,-5.827,-75.686,5.01,0.05,51,ISC
1965,5,9,19,59,0.0,-2.771,-77.292,5.14,0.06,51,ISC
1965,5,18,0,0,0.0,-17.6,49.91,5.38,0.14,71,EPRI
1965,5,19,0,0,0.0,-25.0,112.5,5.09,0.25,4,EPRI
1965,6,3,0,0,0.0,-28.084,150.217,4.49,0.32,28,EPRI
1965,6,27,17,9,4.0,-2.657,-77.162,5.31,0.08,51,ISC
1965,7,18,21,40,44.0,39.8,-104.8,5.05,0.05,255,ISC
1965,7,31,13,41,42.0,39.7,-104.9,5.05,0.05,255,ISC
1965,8,15,19,36,53.0,2.674,-60.106,5.05,0.129,52,Merged
1965,8,28,0,0,0.0,-32.23,138.1,4.69,0.25,21,EPRI
1965,9,10,0,0,0.0,-18.1,122.2,4.6,0.37,11,EPRI
1965,9,14,0,0,0.0,-38.68,144.24,4.94,0.25,23,EPRI
1965,9,14,16,36,46.0,39.8,-104.8,5.09,0.06,255,ISC
1965,9,14,23,16,10.0,39.5,-104.9,5.14,0.06,255,ISC
1965,9,20,18,10,40.0,-6.408,-74.533,5.14,0.06,51,ISC
1965,9,29,19,20,40.0,39.8,-104.8,5.05,0.05,255,ISC
1965,9,29,23,22,58.0,39.8,-104.8,5.05,0.05,255,ISC
1965,10,13,0,0,0.0,71.1,-20.0,4.83,0.25,254,EPRI
1965,10,21,2,4,38.0,37.544,-91.008,4.875,0.05,230,Merged
1965,11,3,1,39,4.0,-9.066,-71.186,6.19,0.18,51,ISC
1965,11,4,7,43,39.0,37.1,-91.0,5.01,0.05,230,ISC
1965,11,21,5,0,27.0,39.8,-104.9,5.09,0.06,255,ISC
1965,11,26,0,25,50.0,-4.795,-77.127,5.01,0.05,51,ISC
1965,12,28,22,4,52.0,-3.261,-77.198,5.53,0.11,51,ISC
1965,12,29,4,8,25.0,-3.098,-77.162,5.05,0.05,51,ISC
1966,1,1,0,0,0.0,42.8,-78.2,4.26,0.08,226,EPRI
1966,1,5,0,37,17.0,39.8,-104.7,5.25,0.07,255,ISC
1966,1,12,8,2,8.0,-2.28,-76.991,5.05,0.05,51,ISC
1966,3,22,0,0,0.0,64.75,-88.0,4.69,0.37,239,EPRI
1966,3,26,0,0,0.0,-18.54,26.39,5.06,0.25,67,EPRI
1966,4,5,0,0,0.0,-16.45,28.68,4.71,0.25,67,EPRI
1966,5,3,0,0,0.0,-37.042,147.168,4.4,0.17,27,EPRI
1966,5,27,22,14,20.0,24.49,68.705,5.135,0.131,113,Merged
1966,6,18,0,0,0.0,-29.52,29.37,4.92,0.25,60,EPRI
1966,6,20,13,42,56.0,28.76,76.911,5.14,0.06,113,ISC
1966,6,21,12,51,24.0,-4.402,-76.809,5.01,0.05,51,ISC
1966,6,23,0,0,0.0,-14.17,22.03,4.96,0.25,61,EPRI
1966,8,15,2,15,32.0,28.629,78.92,5.53,0.143,113,Merged
1966,8,20,7,43,28.0,-3.184,-77.13,5.62,0.12,51,ISC
1966,9,26,0,0,0.0,22.3,117.9,4.88,0.25,127,EPRI
1966,10,2,0,0,0.0,43.83,125.12,4.6,0.25,137,EPRI
1966,10,9,0,0,0.0,12.63,30.75,5.64,0.37,82,EPRI
1966,10,12,0,0,0.0,-11.94,121.77,5.58,0.25,1,EPRI
1966,11,13,0,0,0.0,-23.97,111.67,5.1,0.25,4,EPRI
1966,12,3,6,6,40.0,-8.83,135.544,4.82,0.129,13,Merged
1967,1,27,8,38,52.0,-9.003,-71.404,5.01,0.05,51,ISC
1967,2,13,10,25,46.0,-5.185,-75.527,5.53,0.11,51,ISC
1967,2,13,13,53,21.0,1.849,-73.394,5.05,0.05,51,ISC
1967,2,15,16,11,12.0,-9.07,-71.229,6.49,0.22,51,ISC
1967,3,20,0,0,0.0,35.89,44.08,5.01,0.25,81,EPRI
1967,3,27,8,26,35.0,-8.973,-71.239,5.53,0.11,51,ISC
1967,3,27,0,0,0.0,15.6,80.1,5.2,0.25,117,EPRI
1967,4,2,15,19,12.0,66.862,-134.446,5.14,0.06,241,ISC
1967,4,20,0,0,0.0,-16.64,28.26,5.14,0.37,67,EPRI
1967,4,25,0,0,0.0,18.26,73.3,4.31,0.45,106,EPRI
1967,4,29,2,20,59.0,-5.529,-75.948,5.05,0.05,51,ISC
1967,6,4,0,0,0.0,33.6,-90.9,4.29,0.08,225,EPRI
1967,6,13,0,0,0.0,42.9,-78.2,4.07,0.08,226,EPRI
1967,6,21,0,0,0.0,48.7,122.0,4.63,0.25,135,EPRI
1967,8,9,13,25,8.0,39.912,-104.613,5.12,0.09,255,Merged
1967,8,21,0,0,0.0,57.06,4.92,4.67,0.25,194,EPRI
1967,8,28,0,56,51.0,-9.999,-71.093,5.14,0.06,51,ISC
1967,10,11,20,28,11.0,-10.384,-71.191,5.31,0.08,51,ISC
1967,10,14,0,0,0.0,-3.32,38.19,5.16,0.14,79,EPRI
1967,11,27,5,9,24.0,39.864,-104.802,5.38,0.09,255,ISC
1967,12,10,22,51,23.0,17.376,73.81,6.43,0.122,106,Merged
1967,12,10,23,52,15.0,17.348,73.904,5.705,0.076,106,Merged
1967,12,11,20,49,49.0,17.239,73.852,5.25,0.07,106,ISC
1967,12,12,6,18,36.0,17.312,73.921,5.31,0.08,106,ISC
1967,12,12,15,48,55.0,17.33,73.973,5.25,0.07,106,ISC
1967,12,16,3,19,14.0,-2.951,-77.091,5.31,0.08,51,ISC
1967,12,24,23,49,53.0,17.322,73.97,5.25,0.07,106,ISC
1967,12,25,17,37,38.0,17.219,73.799,5.09,0.06,106,ISC
1967,12,30,0,0,0.0,20.4,118.2,4.92,0.25,127,EPRI
1968,1,12,0,0,0.0,-33.7,25.2,5.01,0.25,59,EPRI
1968,2,8,22,50,5.0,-9.126,-71.394,5.14,0.06,51,ISC
1968,3,3,16,16,31.0,-2.532,-76.984,5.05,0.05,51,ISC
1968,3,31,17,58,9.0,38.0,-89.7,5.01,0.05,230,ISC
1968,4,1,0,0,0.0,25.1,117.6,4.89,0.32,125,EPRI
1968,5,15,0,0,0.0,-15.92,26.099,5.7,0.25,61,EPRI
1968,5,16,8,25,9.0,-3.824,-76.674,5.53,0.11,51,ISC
1968,6,13,0,0,0.0,23.2,105.2,4.5,0.7,130,EPRI
1968,7,6,0,0,0.0,-6.351,133.831,5.64,0.25,16,EPRI
1968,8,27,5,17,36.0,-8.824,-72.843,5.19,0.07,51,ISC
1968,10,14,2,58,51.0,-31.544,117.048,6.58,0.108,7,Merged
1968,10,15,3,30,7.0,-31.514,117.055,5.38,0.09,7,ISC
1968,10,29,10,0,5.0,17.487,73.804,5.09,0.06,106,ISC
1968,11,9,0,0,0.0,37.96,-88.46,5.32,0.06,230,EPRI
1968,11,30,9,48,1.0,-2.815,-76.88,5.14,0.06,51,ISC
1968,12,2,0,0,0.0,-14.104,23.779,5.47,0.27,61,EPRI
1968,12,15,0,0,0.0,-13.47,26.6,4.83,0.25,61,EPRI
1968,12,31,0,0,0.0,-31.04,149.26,4.67,0.37,27,EPRI
1969,2,22,1,19,21.0,-2.635,-76.463,5.01,0.05,51,ISC
1969,4,13,15,24,54.0,17.825,80.73,5.805,0.094,110,Merged
1969,4,15,17,58,42.0,18.255,80.655,5.05,0.05,110,ISC
1969,5,28,13,30,8.0,-2.163,-76.806,5.71,0.13,51,ISC
1969,6,17,0,0,0.0,-25.26,116.73,5.25,0.37,7,EPRI
1969,6,20,0,0,0.0,-38.47,146.3,4.79,0.37,26,EPRI
