Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,E[M],sigmaM,DN,Source
1752,3,27,0,0,0.0,40.65,-8.55,5.53,0.5,199,EPRI
1755,11,18,0,0,0.0,42.7,-70.3,6.1,0.26,218,EPRI
1755,12,26,0,0,0.0,50.8,6.333,5.5,0.32,195,EPRI
1759,12,22,0,0,0.0,57.7,11.1,5.1,0.32,177,EPRI
1764,6,4,0,0,0.0,24.0,88.0,5.81,0.5,118,EPRI
1764,8,17,0,0,0.0,17.9,73.7,4.65,0.44,106,EPRI
1769,11,14,0,0,0.0,57.46,-4.22,4.69,0.44,185,EPRI
1772,2,18,0,0,0.0,68.7,33.3,4.66,0.44,171,EPRI
1772,6,0,0,0,0.0,44.37,4.82,5.35,0.32,195,EPRI
1775,9,8,0,0,0.0,51.6,-4.0,5.01,0.32,196,EPRI
1775,12,30,0,0,0.0,49.17,-0.4,5.28,0.32,196,EPRI
1780,0,0,0,0,0.0,58.5,121.0,5.08,0.44,147,EPRI
1782,4,30,0,0,0.0,26.2,111.7,4.91,0.32,129,EPRI
1785,1,2,0,0,0.0,42.3,-71.1,5.25,0.5,218,EPRI
1786,8,11,0,0,0.0,54.53,-3.68,4.98,0.5,185,EPRI
1788,0,0,0,0,0.0,7.6,1.7,5.74,0.44,92,EPRI
1791,4,8,0,0,0.0,24.5,117.7,5.25,0.5,125,EPRI
1791,12,6,0,0,0.0,47.4,-70.5,5.5,0.48,226,EPRI
1795,5,20,0,0,0.0,9.3,-13.4,4.78,0.32,105,EPRI
1798,5,23,0,0,0.0,57.9,56.8,4.76,0.44,166,EPRI
1799,1,25,0,0,0.0,46.95,-2.0,5.91,0.32,196,EPRI
1803,9,1,0,0,0.0,27.5,77.7,6.65,0.44,113,EPRI
1804,5,5,0,0,0.0,53.3,104.0,5.41,0.44,149,EPRI
1806,1,11,0,0,0.0,25.3,115.7,5.71,0.44,125,EPRI
1808,8,8,0,0,0.0,-5.7,-37.7,4.58,0.32,56,EPRI
1809,12,4,0,0,0.0,-34.0,18.4,5.53,0.5,59,EPRI
1811,6,2,0,0,0.0,-34.0,18.4,5.25,0.5,59,EPRI
1812,2,7,0,0,0.0,36.5,-89.6,7.8,0.17,228,EPRI
1816,8,13,0,0,0.0,57.45,-4.17,4.71,0.32,185,EPRI
1816,9,9,0,0,0.0,45.5,-73.6,5.25,0.5,227,EPRI
1817,3,18,0,0,0.0,42.25,-2.1,5.24,0.32,201,EPRI
1817,5,22,0,0,0.0,44.72,-67.5,4.69,0.32,222,EPRI
1818,1,0,0,0,0.0,12.1,-12.4,5.85,0.32,100,EPRI
1819,6,16,0,0,0.0,23.6,69.6,7.79,0.32,114,EPRI
1819,8,31,0,0,0.0,66.7,15.5,6.38,0.32,179,EPRI
1819,9,14,0,0,0.0,26.5,107.2,5.25,0.32,130,EPRI
1820,0,0,0,0,0.0,-4.5,11.6,6.35,0.44,74,EPRI
1822,4,3,0,0,0.0,24.0,89.0,5.25,0.5,118,EPRI
1823,2,9,0,0,0.0,7.0,80.0,5.25,0.5,107,EPRI
1824,0,0,0,0,0.0,-8.0,-39.0,5.81,0.5,56,EPRI
1827,5,0,0,0,0.0,57.9,108.8,6.4,0.44,149,EPRI
1827,9,24,0,0,0.0,31.57,74.35,6.11,0.5,113,EPRI
